colony,technique,count,diff,absdiff,actual,Obs,focus,counter,image
10,Ground,413,-150,150,563,AS,N,Gro,N
10,UAV90,567,4,4,563,AH,N,UAV,Y
10,UAV60,564,1,1,563,BH,N,UAV,Y
10,UAV30,562,-1,1,563,CA,N,UAV,Y
10,Ground,491,-72,72,563,DR,N,Gro,N
10,UAV30,565,2,2,563,DN,N,UAV,Y
10,UAV90,563,0,0,563,DM,N,UAV,Y
10,UAV30,563,0,0,563,DT,N,UAV,Y
10,UAV120,588,25,25,563,GS,N,UAV,Y
10,Ground,570,7,7,563,GC,N,Gro,N
10,UAV120,529,-34,34,563,JB,N,UAV,Y
10,UAV90,564,1,1,563,JM,N,UAV,Y
10,Ground,506,-57,57,563,JD,N,Gro,N
10,UAV90,547,-16,16,563,JP,N,UAV,Y
10,UAV60,573,10,10,563,JC,N,UAV,Y
10,UAV60,562,-1,1,563,JG,N,UAV,Y
10,Ground,425,-138,138,563,LM,N,Gro,N
10,Ground,481,-82,82,563,LC,N,Gro,N
10,UAV60,567,4,4,563,MB,N,UAV,Y
10,UAV30,563,0,0,563,MD,N,UAV,Y
10,UAV90,550,-13,13,563,MW,N,UAV,Y
10,UAV60,562,-1,1,563,MG,N,UAV,Y
10,UAV90,551,-12,12,563,MF,N,UAV,Y
10,UAV120,488,-75,75,563,NH,N,UAV,Y
10,UAV30,563,0,0,563,PM,N,UAV,Y
10,UAV120,613,50,50,563,PY,N,UAV,Y
10,Ground,438,-125,125,563,PS,N,Gro,N
10,UAV120,524,-39,39,563,SR,N,UAV,Y
10,UAV30,563,0,0,563,SV,N,UAV,Y
10,UAV60,563,0,0,563,SK,N,UAV,Y
10,UAV120,446,-117,117,563,XG,N,UAV,Y
10,UAV30,561,-2,2,563,ZB,N,UAV,Y
1,Auto30,628,-8,8,636,auto,Y,Aut,Y
2,Auto30,482,19,19,463,auto,Y,Aut,Y
3,Auto30,549,2,2,547,auto,Y,Aut,Y
4,Auto30,498,-6,6,504,auto,Y,Aut,Y
5,Auto30,1115,98,98,1017,auto,N,Aut,Y
6,Auto30,956,93,93,863,auto,Y,Aut,Y
7,Auto30,858,19,19,839,auto,Y,Aut,Y
8,Auto30,894,51,51,843,auto,N,Aut,Y
9,Auto30,1076,99,99,977,auto,N,Aut,Y
10,Auto30,568,5,5,563,auto,N,Aut,Y
1,Auto60,633,-3,3,636,auto,Y,Aut,Y
2,Auto60,479,16,16,463,auto,Y,Aut,Y
3,Auto60,552,5,5,547,auto,Y,Aut,Y
4,Auto60,533,29,29,504,auto,Y,Aut,Y
5,Auto60,1099,82,82,1017,auto,N,Aut,Y
6,Auto60,857,-6,6,863,auto,Y,Aut,Y
7,Auto60,856,17,17,839,auto,Y,Aut,Y
8,Auto60,866,23,23,843,auto,N,Aut,Y
9,Auto60,1026,49,49,977,auto,N,Aut,Y
10,Auto60,569,6,6,563,auto,N,Aut,Y
1,Auto90,635,-1,1,636,auto,Y,Aut,Y
2,Auto90,498,35,35,463,auto,Y,Aut,Y
3,Auto90,554,7,7,547,auto,Y,Aut,Y
4,Auto90,523,19,19,504,auto,Y,Aut,Y
5,Auto90,1090,73,73,1017,auto,N,Aut,Y
6,Auto90,858,-5,5,863,auto,Y,Aut,Y
7,Auto90,845,6,6,839,auto,Y,Aut,Y
8,Auto90,794,-49,49,843,auto,N,Aut,Y
9,Auto90,904,-73,73,977,auto,N,Aut,Y
10,Auto90,542,-21,21,563,auto,N,Aut,Y
1,Auto120,613,-23,23,636,auto,Y,Aut,Y
2,Auto120,472,9,9,463,auto,Y,Aut,Y
3,Auto120,562,15,15,547,auto,Y,Aut,Y
4,Auto120,490,-14,14,504,auto,Y,Aut,Y
5,Auto120,1067,50,50,1017,auto,N,Aut,Y
6,Auto120,857,-6,6,863,auto,Y,Aut,Y
7,Auto120,855,16,16,839,auto,Y,Aut,Y
8,Auto120,717,-126,126,843,auto,N,Aut,Y
9,Auto120,849,-128,128,977,auto,N,Aut,Y
10,Auto120,577,14,14,563,auto,N,Aut,Y
